["port_00","LEFT"]
["port_01","RIGHT"]
["port_10","LEFT"]
["port_11","RIGHT"]
("port_00","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.9611423294166666e+14 7.3158130067321725e-01 3.1913326814783840e+01
1.9673880056250000e+14 7.4169000532046947e-01 3.4398375832498445e+01
1.9736336818333331e+14 7.5148673025299517e-01 3.6882557961920448e+01
1.9798793580416666e+14 7.6094608451267765e-01 3.9365878416776134e+01
1.9861250342500000e+14 7.7018793001685659e-01 4.1848325726304409e+01
1.9923707104583331e+14 7.7912733662756406e-01 4.4330403976624268e+01
1.9986163866666666e+14 7.8762982166810380e-01 4.6812145001311308e+01
("port_00","mode 1",1,"port_10",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.9360742380079072e-03 -1.8037401750338606e+00
1.8799485387083331e+14 4.4847667031562019e-03 -4.3558848234576590e+00
1.8861942149166662e+14 5.4386725045160282e-03 -6.6759053949176179e+00
1.8924398911249997e+14 6.7148564679632879e-03 -9.4102062712131662e+00
1.8986855673333331e+14 5.9328769979145280e-03 -1.1956401955779240e+01
1.9049312435416662e+14 7.4306675713328631e-03 -1.4432104331076555e+01
1.9111769197499997e+14 8.1485944943841711e-03 -1.7298911118548631e+01
1.9174225959583331e+14 7.6436682659398927e-03 -2.0073727973531653e+01
1.9236682721666666e+14 8.2734071035836902e-03 -2.2902032077338724e+01
1.9299139483749997e+14 8.5912974132829958e-03 -2.5822434578887943e+01
1.9361596245833331e+14 9.7631106838480062e-03 -2.8717149986880145e+01
1.9424053007916666e+14 1.1020088034178583e-02 -3.1624808118772663e+01
1.9486509769999997e+14 1.1027429079914728e-02 -3.4317807308730892e+01
1.9548966532083331e+14 1.1320014030054294e-02 -3.6829320880518871e+01
1.9611423294166666e+14 9.9363824319743284e-03 -3.9310849828814185e+01
1.9673880056250000e+14 7.5091258299757688e-03 -4.1383622399615675e+01
1.9736336818333331e+14 8.8495612715712678e-03 -4.3438311736264957e+01
1.9798793580416666e+14 9.1800062300002472e-03 -4.5700829122529406e+01
1.9861250342500000e+14 1.0296091874084354e-02 -4.8057991230645506e+01
1.9923707104583331e+14 9.9120622297153571e-03 -5.0703769493227099e+01
1.9986163866666666e+14 8.1324611296907986e-03 -5.3419862495889724e+01
("port_00","mode 1",1,"port_11",1,"transmission")
(21, 3)
1.8737028624999997e+14 7.9267414093797728e-01 -1.3601060612033544e+00
1.8799485387083331e+14 7.8132909577080745e-01 1.1326238492796392e+00
1.8861942149166662e+14 7.6991663040258851e-01 3.6249733246731015e+00
1.8924398911249997e+14 7.5847018685180800e-01 6.1166252964421846e+00
1.8986855673333331e+14 7.4693700659413220e-01 8.6082080976054964e+00
1.9049312435416662e+14 7.3512584611539233e-01 1.1099590674019376e+01
1.9111769197499997e+14 7.2298426983217579e-01 1.3590778951760146e+01
1.9174225959583331e+14 7.1123076942421526e-01 1.6081198209859778e+01
1.9236682721666666e+14 6.9989274502108056e-01 1.8571446021423267e+01
1.9299139483749997e+14 6.8865219568193436e-01 2.1061648698072943e+01
1.9361596245833331e+14 6.7728779228758551e-01 2.3550723630929305e+01
1.9424053007916666e+14 6.6642459991866321e-01 2.6038073105220427e+01
1.9486509769999997e+14 6.5582414782873311e-01 2.8524835088150667e+01
1.9548966532083331e+14 6.4493042050813887e-01 3.1011111881990672e+01
1.9611423294166666e+14 6.3379220893825894e-01 3.3496464874318001e+01
1.9673880056250000e+14 6.2295198516205286e-01 3.5981003618964337e+01
1.9736336818333331e+14 6.1196651240909372e-01 3.8465043053930948e+01
1.9798793580416666e+14 6.0114239952508497e-01 4.0948114304126520e+01
1.9861250342500000e+14 5.9086682373927579e-01 4.3430562793105359e+01
1.9923707104583331e+14 5.8049778414681230e-01 4.5912589100709049e+01
1.9986163866666666e+14 5.7000295828037628e-01 4.8393821650953463e+01
("port_01","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.3322334234028113e-01 -2.9541047611792957e+00
1.8799485387083331e+14 5.5104024563018839e-01 -4.6119943311057177e-01
1.8861942149166662e+14 5.6816630030513948e-01 2.0314380500946254e+00
1.8924398911249997e+14 5.8500487919315147e-01 4.5232590225936926e+00
1.8986855673333331e+14 6.0121256401039014e-01 7.0147433802578023e+00
1.9049312435416662e+14 6.1627884988218240e-01 9.5059270233479705e+00
1.9111769197499997e+14 6.3046266018280284e-01 1.1996629547030953e+01
1.9174225959583331e+14 6.4439830364963091e-01 1.4486443826467251e+01
1.9236682721666666e+14 6.5753332359656502e-01 1.6975858250471152e+01
1.9299139483749997e+14 6.6994404127037888e-01 1.9465380594950378e+01
1.9361596245833331e+14 6.8191293884356841e-01 2.1954577634356731e+01
1.9424053007916666e+14 6.9368981059719947e-01 2.4442928623780556e+01
1.9486509769999997e+14 7.0540795392803457e-01 2.6930817925776381e+01
1.9548966532083331e+14 7.1713816065169356e-01 2.9418200672489622e+01
1.9611423294166666e+14 7.2794285187852714e-01 3.1904562455452290e+01
1.9673880056250000e+14 7.3812975361561073e-01 3.4389722839052553e+01
1.9736336818333331e+14 7.4793786309798616e-01 3.6874010404429086e+01
1.9798793580416666e+14 7.5743387723472722e-01 3.9357457896200202e+01
1.9861250342500000e+14 7.6672570472064250e-01 4.1840016334917749e+01
1.9923707104583331e+14 7.7566625209134721e-01 4.4322213092262274e+01
1.9986163866666666e+14 7.8420831675327196e-01 4.6804097236292698e+01
